country,continent,date,new_vaccinations,total_vaccinations,people_fully_vaccinated,vaccine_used,population,population_density,gdp_per_capita,human_development_index
Cambodia,Asia,2021-02-10,1492,1492,,Sinopharm/Beijing,16718971,90.672,3645.07,0.594
Cambodia,Asia,2021-02-11,,,,Sinopharm/Beijing,16718971,90.672,3645.07,0.594
Cambodia,Asia,2021-02-12,,,,Sinopharm/Beijing,16718971,90.672,3645.07,0.594
Cambodia,Asia,2021-02-13,,,,Sinopharm/Beijing,16718971,90.672,3645.07,0.594
Cambodia,Asia,2021-02-14,,,,Sinopharm/Beijing,16718971,90.672,3645.07,0.594
Cambodia,Asia,2021-02-15,,,,Sinopharm/Beijing,16718971,90.672,3645.07,0.594
Cambodia,Asia,2021-02-16,,,,Sinopharm/Beijing,16718971,90.672,3645.07,0.594
Cameroon,Africa,2021-02-10,,,,,26545864,50.885,3364.926,0.563
Cameroon,Africa,2021-02-11,,,,,26545864,50.885,3364.926,0.563
Cameroon,Africa,2021-02-12,,,,,26545864,50.885,3364.926,0.563
Cameroon,Africa,2021-02-13,,,,,26545864,50.885,3364.926,0.563
Cameroon,Africa,2021-02-14,,,,,26545864,50.885,3364.926,0.563
Cameroon,Africa,2021-02-15,,,,,26545864,50.885,3364.926,0.563
Cameroon,Africa,2021-02-16,,,,,26545864,50.885,3364.926,0.563
Canada,North America,2021-02-10,34693,1153987,,Moderna,37742157,4.037,44017.591,0.929
Canada,North America,2021-02-11,32413,1186400,,Moderna,37742157,4.037,44017.591,0.929
Canada,North America,2021-02-12,35139,1221539,,Moderna,37742157,4.037,44017.591,0.929
Canada,North America,2021-02-13,,,,Moderna,37742157,4.037,44017.591,0.929
Canada,North America,2021-02-14,,,,Moderna,37742157,4.037,44017.591,0.929
Canada,North America,2021-02-15,,1272929,,Moderna,37742157,4.037,44017.591,0.929
Canada,North America,2021-02-16,33855,1306784,,Moderna,37742157,4.037,44017.591,0.929
Cape Verde,Africa,2021-02-10,,,,,555988,135.58,6222.554,0.665
Cape Verde,Africa,2021-02-11,,,,,555988,135.58,6222.554,0.665
Cape Verde,Africa,2021-02-12,,,,,555988,135.58,6222.554,0.665
Cape Verde,Africa,2021-02-13,,,,,555988,135.58,6222.554,0.665
Cape Verde,Africa,2021-02-14,,,,,555988,135.58,6222.554,0.665
Cape Verde,Africa,2021-02-15,,,,,555988,135.58,6222.554,0.665
Cape Verde,Africa,2021-02-16,,,,,555988,135.58,6222.554,0.665
Cayman Islands,North America,2021-02-10,477,14086,5174,Pfizer/BioNTech,65720,256.496,49903.029,
Cayman Islands,North America,2021-02-11,,,,Pfizer/BioNTech,65720,256.496,49903.029,
Cayman Islands,North America,2021-02-12,,15543,6371,Pfizer/BioNTech,65720,256.496,49903.029,
Cayman Islands,North America,2021-02-13,,,,Pfizer/BioNTech,65720,256.496,49903.029,
Cayman Islands,North America,2021-02-14,,,,Pfizer/BioNTech,65720,256.496,49903.029,
Cayman Islands,North America,2021-02-15,,,,Pfizer/BioNTech,65720,256.496,49903.029,
Cayman Islands,North America,2021-02-16,,,,Pfizer/BioNTech,65720,256.496,49903.029,
Central African Republic,Africa,2021-02-10,,,,,4829764,7.479,661.24,0.397
Central African Republic,Africa,2021-02-11,,,,,4829764,7.479,661.24,0.397
Central African Republic,Africa,2021-02-12,,,,,4829764,7.479,661.24,0.397
Central African Republic,Africa,2021-02-13,,,,,4829764,7.479,661.24,0.397
Central African Republic,Africa,2021-02-14,,,,,4829764,7.479,661.24,0.397
Central African Republic,Africa,2021-02-15,,,,,4829764,7.479,661.24,0.397
Central African Republic,Africa,2021-02-16,,,,,4829764,7.479,661.24,0.397
Chad,Africa,2021-02-10,,,,,16425859,11.833,1768.153,0.398
Chad,Africa,2021-02-11,,,,,16425859,11.833,1768.153,0.398
Chad,Africa,2021-02-12,,,,,16425859,11.833,1768.153,0.398
Chad,Africa,2021-02-13,,,,,16425859,11.833,1768.153,0.398
Chad,Africa,2021-02-14,,,,,16425859,11.833,1768.153,0.398
Chad,Africa,2021-02-15,,,,,16425859,11.833,1768.153,0.398
Chad,Africa,2021-02-16,,,,,16425859,11.833,1768.153,0.398
Chile,South America,2021-02-10,277806,1399150,52240,Pfizer/BioNTech,19116209,24.282,22767.037,0.851
Chile,South America,2021-02-11,251194,1650344,54781,Pfizer/BioNTech,19116209,24.282,22767.037,0.851
Chile,South America,2021-02-12,227349,1877693,54984,Pfizer/BioNTech,19116209,24.282,22767.037,0.851
Chile,South America,2021-02-13,29482,1907175,55018,Pfizer/BioNTech,19116209,24.282,22767.037,0.851
Chile,South America,2021-02-14,4447,1911622,55018,Pfizer/BioNTech,19116209,24.282,22767.037,0.851
